SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,,
Fis-29576,226,Xiphias,gladius,Swordfish,Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,,
Fis-22856,249,Centrolophus,niger,Rudderfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,,
Fis-22935,364,Pomatomus,saltatrix,Bluefish,Animalia,Chordata,Actinopterygii,Perciformes,Pomatomidae,,
Fis-22970,368,Trachurus,symmetricus,Pacific jack mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,,
Fis-22852,391,Brama,brama,Atlantic pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-29427,616,Lampanyctus,alatus,Winged lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23087,621,Ceratoscopelus,maderensis,Madeira lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23167,623,Lampanyctus,pusillus,Pygmy lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23882,1012,Uraspis,secunda,Cottonmouth jack,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,,
Fis-5571,1027,Cheilopogon,exsiliens,Bandwing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-50817,1033,Fodiator,acutus,Sharpchin flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-23550,1035,Hirundichthys,rondeletii,Black wing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-23551,1036,Hirundichthys,speculiger,Mirrorwing flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-30041,1041,Gempylus,serpens,Snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,,
Fis-23580,1072,Lampris,guttatus,Opah,Animalia,Chordata,Actinopterygii,Lampriformes,Lampridae,,
Fis-58405,1084,Scomberesox,saurus,Atlantic saury,Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,,
Fis-47983,1267,Acropoma,japonicum,Glowbelly,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae,,
Fis-29723,1699,Bathophilus,nigerrimus,Scaleless dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23484,1714,Electrona,risso,Electric lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23515,1716,Gonichthys,cocco,Cocco’s lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23555,1718,Hygophum,benoiti,Benoit's lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23556,1719,Hygophum,hygomii,Bermuda lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30255,1725,Luvarus,imperialis,Luvar,Animalia,Chordata,Actinopterygii,Perciformes,Luvaridae,,
Fis-23637,1731,Microstoma,microstoma,Slender argentine,Animalia,Chordata,Actinopterygii,Osmeriformes,Microstomatidae,,
Fis-23639,1732,Mola,mola,Ocean sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,
Fis-23643,1734,Mora,moro,Common mora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,,
Fis-23844,1737,Symbolophorus,veranyi,Large-scale lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23758,1750,Ranzania,laevis,Slender sunfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,,
Fis-30711,1772,Tetragonurus,cuvieri,Smalleye squaretail,Animalia,Chordata,Actinopterygii,Perciformes,Tetragonuridae,,
Fis-29880,1774,Cyclothone,braueri,Garrick,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23454,1775,Cyclothone,microdon,Veiled anglemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23893,1776,Zu,cristatus,Scalloped ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-23868,1777,Trachipterus,trachypterus,Mediterranean dealfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-23888,1780,Vinciguerria,attenuata,Slender lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,High,
Fis-23889,1781,Vinciguerria,poweriae,Power's deep-water bristle-mouth fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,,
Fis-29801,1786,Chauliodus,sloani,Sloane's viperfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23604,1794,Lobianchia,dofleini,Dofleini's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23605,1795,Lobianchia,gemellarii,Cocco's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-23502,1796,Evermannella,balbo,Balbo sabretooth,Animalia,Chordata,Actinopterygii,Aulopiformes,Evermannellidae,,
Fis-30075,1799,Gonostoma,denudatum,,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-23562,1804,Ichthyococcus,ovatus,Lightfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae,,
Fis-23839,1806,Stomias,boa boa,Boa dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-23905,2005,Antimora,rostrata,Blue antimora,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae,,
Fis-30683,2047,Sudis,hyalina,,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-29669,2082,Argyropelecus,gigas,Hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-64697,2292,Melanocetus,johnsonii,Humpback anglerfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Melanocetidae,,
Fis-23904,2308,Anoplogaster,cornuta,Common fangtooth,Animalia,Chordata,Actinopterygii,Beryciformes,Anoplogastridae,,
Fis-47643,2727,Magnisudis,atlantica,Duckbill barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-29601,2728,Alepisaurus,brevirostris,Short snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,,
Fis-23950,2731,Ceratoscopelus,townsendi,Dogtooth lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-24003,2733,Diogenichthys,laternatus,Diogenes lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-24154,2735,Notoscopelus,resplendens,Patchwork lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-24386,2739,Triphoturus,mexicanus,Mexican lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-29877,3098,Cryptopsaras,couesii,Triplewart seadevil,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,,
Fis-30110,3099,Himantolophus,groenlandicus,Atlantic footballfish,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae,,
Fis-29738,3100,Bregmaceros,atlanticus,Antenna codlet,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,,
Fis-30014,3155,Euleptorhamphus,velox,Flying halfbeak,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,,
Fis-30015,3156,Euleptorhamphus,viridis,Ribbon halfbeak,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae,,
Fis-24609,3260,Eumecichthys,fiski,Unicorn crestfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,,
Fis-30248,3261,Lophotus,lacepede,Crested oarfish,Animalia,Chordata,Actinopterygii,Lampriformes,Lophotidae,,
Fis-24539,3263,Desmodema,polystictum,Polka-dot ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-30736,3264,Trachipterus,altivelis,King-of-the-salmon,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-30737,3266,Trachipterus,fukuzakii,Tapertail ribbonfish,Animalia,Chordata,Actinopterygii,Lampriformes,Trachipteridae,,
Fis-30575,3267,Regalecus,glesne,King of herrings,Animalia,Chordata,Actinopterygii,Lampriformes,Regalecidae,,
Fis-30682,3268,Stylephorus,chordatus,Tube-eye,Animalia,Chordata,Actinopterygii,Lampriformes,Stylephoridae,,
Fis-24762,3277,Macroramphosus,gracilis,Slender snipefish,Animalia,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,,
Fis-24896,3544,Phtheirichthys,lineatus,Slender suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24929,3545,Remora,australis,Whalesucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24930,3546,Remora,brachyptera,Spearfish remora,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-24931,3547,Remora,osteochir,Marlin sucker,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-7669,3548,Remora,albescens,White suckerfish,Animalia,Chordata,Actinopterygii,Perciformes,Echeneidae,,
Fis-22216,3554,Brama,caribbea,Caribbean pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-29736,3555,Brama,japonica,Pacific pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-30555,3558,Pterycombus,brama,Atlantic fanfish,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-30708,3559,Taractes,asper,Rough pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-25025,3560,Taractichthys,longipinnis,Big-scale pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,,
Fis-170414,3598,Kyphosus,ocyurus,Bluestriped chub,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,,
Fis-30341,3907,Nealotus,tripes,Black snake mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,,
Fis-30712,3915,Tetrapturus,angustirostris,Shortbill spearfish,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,,
Fis-30523,3925,Psenes,cyanophrys,Freckled driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-30524,3926,Psenes,maculatus,Silver driftfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,Medium,
Fis-30919,4317,Rondeletia,loricata,Redmouth whalefish,Animalia,Chordata,Actinopterygii,Cetomimiformes,Rondeletiidae,,
Fis-25136,4468,Symbolophorus,evermanni,Evermann's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30985,4488,Myctophum,asperum,Prickly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30986,4489,Myctophum,aurolaternatum,Golden lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-30987,4490,Myctophum,nitidulum,Pearly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-25165,4520,Hygophum,reinhardtii,Reinhardt's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31001,4522,Hygophum,proximum,Firefly lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31004,4526,Eurypharynx,pelecanoides,Pelican eel,Animalia,Chordata,Actinopterygii,Saccopharyngiformes,Eurypharyngidae,,
Fis-64476,4549,Omosudis,lowii,Omosudid,Animalia,Chordata,Actinopterygii,Aulopiformes,Omosudidae,,
Fis-25178,4553,Notolychnus,valdiviae,Topside lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-31020,4572,Ceratias,holboelli,Kroyer's deep-sea angler fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Ceratiidae,,
Fis-31023,4577,Centrophryne,spinulosa,Horned lantern fish,Animalia,Chordata,Actinopterygii,Lophiiformes,Centrophrynidae,,
Fis-31074,4723,Scopelopsis,multipunctatus,Multispotted lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-53660,4953,Cyttopsis,rosea,Rosy dory,Animalia,Chordata,Actinopterygii,Zeiformes,Parazenidae,,
Fis-31164,4958,Diretmus,argenteus,Silver spinyfin,Animalia,Chordata,Actinopterygii,Beryciformes,Diretmidae,,
Fis-31210,5044,Astronesthes,niger,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Medium,
Fis-31214,5049,Cubiceps,pauciradiatus,Bigeye cigarfish,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-58515,5052,Gonostoma,atlanticum,Atlantic fangjaw,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-31219,5056,Schedophilus,maculatus,Pelagic butterfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,,
Fis-25437,5064,Xenodermichthys,copei,Bluntsnout smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-31234,5089,Photostomias,guernei,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-31235,5090,Searsia,koefoedi,Koefoed's searsid,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-7929,5097,Argyropelecus,olfersii,,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-25456,5099,Avocettina,infans,Avocet snipe eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,,
Fis-31237,5101,Ectreposebastes,imus,Midwater scorpionfish,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Setarchidae,,
Fis-31240,5116,Cyclothone,acclinidens,Benttooth bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-25469,5117,Poromitra,crassiceps,Crested bigscale,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,,
Fis-31241,5118,Melanonus,zugmayeri,Arrowtail,Animalia,Chordata,Actinopterygii,Gadiformes,Melanonidae,,
Fis-31242,5119,Scopelengys,tristis,Pacific blackchin,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,,
Fis-31243,5123,Exocoetus,monocirrhus,Barbel flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-31244,5124,Prognichthys,sealei,Sailor flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-25475,5127,Coryphaenoides,armatus,Abyssal grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-25477,5130,Borostomias,elucens,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-31246,5131,Astronesthes,macropogon,,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-31271,5198,Sagamichthys,abei,Shining tubeshoulder,Animalia,Chordata,Actinopterygii,Osmeriformes,Platytroctidae,,
Fis-25573,5351,Symbolophorus,californiensis,Bigfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26206,6589,Benthosema,suborbitale,Smallfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,High,
Fis-26207,6590,Diaphus,dumerilii,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26208,6591,Lepidophanes,guentheri,Günther’s lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26351,6963,Narcetes,stomias,Blackhead salmon,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-26352,6964,Rouleina,attrita,Softskin smooth-head,Animalia,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,
Fis-32102,6966,Cyclothone,pallida,Tan bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,,
Fis-32103,6967,Cyclothone,pseudopallida,Slender bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,Medium,
Fis-32104,6968,Argyropelecus,hemigymnus,Half-naked hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32105,6969,Sternoptyx,pseudodiaphana,False oblique hatchetfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32106,6970,Idiacanthus,atlanticus,Black dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-32108,6973,Trigonolampa,miriceps,Threelight dragonfish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-136946,6977,Arctozenus,risso,Spotted barracudina,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-26357,6981,Ceratoscopelus,warmingii,Warming's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32113,6983,Diaphus,ostenfeldi,Ostenfeld's lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-139573,6999,Nannobrachium,atrum,Dusky lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26373,7013,Taaningichthys,bathyphilus,Deepwater lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-60103,7147,Sio,nordenskjoldii,Nordenskjold's bigscale,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Melamphaidae,,
Fis-32327,7384,Cyclothone,atraria,Deep-water bristlemouth,Animalia,Chordata,Actinopterygii,Stomiiformes,Gonostomatidae,High,
Fis-26523,7388,Danaphos,oculatus,Bottlelights,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32330,7389,Sternoptyx,diaphana,Diaphanous hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32332,7392,Argyropelecus,sladeni,Sladen's hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,,
Fis-32333,7394,Astronesthes,lucifer,Pacific astronesthid fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,
Fis-32334,7395,Melanostomias,valdiviae,Valdivia black dragon fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae,High,
Fis-32336,7397,Opisthoproctus,soleatus,Barrel-eye,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae,,
Fis-26527,7401,Lestidiops,mirabilis,Strange pike smelt,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-32339,7403,Sudis,atrox,Fierce pike smelt,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,,
Fis-32340,7405,Bolinichthys,distofax,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26529,7406,Bolinichthys,longipes,Popeye lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26531,7409,Diogenichthys,atlanticus,Longfin lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,High,
Fis-26532,7411,Lampadena,luminosa,Luminous lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32343,7412,Lampadena,urophaos,Sunbeam lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32344,7413,Lampanyctus,nobilis,Noble lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32345,7414,Lampanyctus,steinbecki,Longfin lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32347,7416,Myctophum,obtusirostre,Bluntsnout lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26533,7417,Notoscopelus,caudispinosus,Lobisomem,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26534,7419,Taaningichthys,minimus,Waistcoat lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32349,7420,Taaningichthys,paurolychnus,,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26535,7421,Triphoturus,nigrescens,Highseas lampfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32350,7422,Neoscopelus,macrolepidotus,Large-scaled lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Neoscopelidae,,
Fis-26536,7423,Benthosema,fibulatum,Spinycheek lanternfish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26537,7424,Myctophum,affine,Metallic lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32351,7425,Myctophum,selenops,Wisner's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32353,7432,Diaphus,adenomus,Gilbert's large lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32355,7434,Diaphus,brachycephalus,Short-headed lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32356,7435,Diaphus,chrysorhynchus,Golden-nosed lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-26541,7436,Diaphus,perspicillatus,Transparent lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32357,7437,Diaphus,fragilis,Fragile lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-15811,7438,Diaphus,metopoclampus,Spothead lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32358,7439,Diaphus,phillipsi,Bolin's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32359,7440,Diaphus,termophilus,Taaning's lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-120072,7441,Nannobrachium,nigrum,Black lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,,
Fis-32360,7442,Bathypterois,atricolor,Attenuated spider fish,Animalia,Chordata,Actinopterygii,Aulopiformes,Ipnopidae,,
Fis-32361,7444,Gigantura,indica,Telescopefish,Animalia,Chordata,Actinopterygii,Aulopiformes,Giganturidae,,
Fis-32362,7445,Derichthys,serpentinus,Narrownecked oceanic eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Derichthyidae,,
Fis-64212,7477,Serrivomer,beanii,Stout sawpalate,Animalia,Chordata,Actinopterygii,Anguilliformes,Serrivomeridae,,
Fis-32379,7478,Stemonidium,hypomelas,Black serrivomerid eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Serrivomeridae,,
Fis-26569,7509,Cheilopogon,atrisignis,Glider flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-26609,7600,Trachonurus,villosus,Furry whiptail,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-26644,7695,Cheilopogon,cyanopterus,Margined flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-26645,7696,Cheilopogon,nigricans,Blacksail flyingfish,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,,
Fis-153269,7754,Scomberesox,simulans,Dwarf saury,Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,,
Fis-164094,8233,Ariomma,luridum,Ariommid,Animalia,Chordata,Actinopterygii,Perciformes,Ariommatidae,,
Fis-32810,8397,Cubiceps,caeruleus,Blue fathead,Animalia,Chordata,Actinopterygii,Perciformes,Nomeidae,,
Fis-32814,8421,Bregmaceros,mcclellandi,Unicorn cod,Animalia,Chordata,Actinopterygii,Gadiformes,Bregmacerotidae,,
Fis-27056,8562,Trachonurus,sulcatus,Bristly grenadier,Animalia,Chordata,Actinopterygii,Gadiformes,Macrouridae,,
Fis-33095,8943,Acanthonus,armatus,Bony-eared assfish,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-27227,8946,Bassozetus,taenia,,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-33096,8950,Brotulotaenia,brevicauda,,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-33097,8951,Brotulotaenia,crassa,Violet cuskeel,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,,
Fis-27245,8991,Spectrunculus,grandis,Pudgy cuskeel,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,Very low,
Fis-33132,9009,Aldrovandia,gracilis,,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,
Fis-33133,9011,Aldrovandia,oleosa,,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,
Fis-33135,9016,Halosaurus,guentheri,,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae,,
Fis-170050,9027,Scomberesox,scombroides,King gar,Animalia,Chordata,Actinopterygii,Beloniformes,Scomberesocidae,,
